OBJECTID,GEOID,ALAND,AWATER,STATEFP,COUNTYFP,TRACTCE,TRACTID,NAMELSAD,NAME,Total workers,"Workers traveling by car, truck, or van","Workers traveling by car, truck, or van - drove alone","Workers traveling by car, truck, or van - carpooled",Workers traveling by public transportation,Workers traveling by bicycle,Workers traveling by walking,Workers traveling by other means,Workers working from home,"% of workers traveling by car, truck, or van","% of workers traveling by car, truck, or van - drove alone","% of workers traveling by car, truck, or van - carpooled",% of workers traveling by public transportation,% of workers traveling by bicycle,% of workers traveling by walking,% of workers traveling by other means,% of workers working from home,Shape__Area,Shape__Length
1,99001,1000000,10000,00,000,000000,0000,State Data - Alabama,Alabama,2100000,1806000,1625400,180600,42000,6300,25200,31500,189000,86.0,77.4,8.6,2.0,0.3,1.2,1.5,9.0,1,1
2,99002,1000000,10000,00,000,000000,0000,State Data - Alaska,Alaska,350000,266000,239400,26600,8750,5250,10500,0,59500,76.0,68.4,7.6,2.5,1.5,3.0,0.0,17.0,1,1
3,99003,1000000,10000,00,000,000000,0000,State Data - Arizona,Arizona,2800000,2296000,2066400,229600,98000,30800,78400,16800,280000,82.0,73.8,8.2,3.5,1.1,2.8,0.6,10.0,1,1
4,99004,1000000,10000,00,000,000000,0000,State Data - Arkansas,Arkansas,1300000,1105000,994500,110500,19500,5200,19500,0,150800,85.0,76.5,8.5,1.5,0.4,1.5,0.0,11.6,1,1
5,99005,1000000,10000,00,000,000000,0000,State Data - California,California,17000000,12580000,11322000,1258000,1530000,255000,646000,119000,1870000,74.0,66.6,7.4,9.0,1.5,3.8,0.7,11.0,1,1
6,99006,1000000,10000,00,000,000000,0000,State Data - Colorado,Colorado,2800000,2184000,1965600,218400,112000,44800,126000,0,333200,78.0,70.2,7.8,4.0,1.6,4.5,0.0,11.9,1,1
7,99007,1000000,10000,00,000,000000,0000,State Data - Connecticut,Connecticut,1800000,1440000,1296000,144000,126000,18000,63000,0,153000,80.0,72.0,8.0,7.0,1.0,3.5,0.0,8.5,1,1
8,99008,1000000,10000,00,000,000000,0000,State Data - Delaware,Delaware,500000,420000,378000,42000,12500,4000,11000,0,52500,84.0,75.6,8.4,2.5,0.8,2.2,0.0,10.5,1,1
9,99009,1000000,10000,00,000,000000,0000,State Data - Florida,Florida,9500000,7885000,7096500,788500,266000,95000,237500,190000,826500,83.0,74.7,8.3,2.8,1.0,2.5,2.0,8.7,1,1
10,99010,1000000,10000,00,000,000000,0000,State Data - Georgia,Georgia,5400000,4536000,4082400,453600,162000,48600,113400,27000,513000,84.0,75.6,8.4,3.0,0.9,2.1,0.5,9.5,1,1
11,99011,1000000,10000,00,000,000000,0000,State Data - Hawaii,Hawaii,700000,497000,447300,49700,52500,8400,28700,14000,99400,71.0,63.9,7.1,7.5,1.2,4.1,2.0,14.2,1,1
12,99012,1000000,10000,00,000,000000,0000,State Data - Idaho,Idaho,800000,672000,604800,67200,9600,11200,20000,0,87200,84.0,75.6,8.4,1.2,1.4,2.5,0.0,10.9,1,1
13,99013,1000000,10000,00,000,000000,0000,State Data - Illinois,Illinois,6500000,5070000,4563000,507000,539500,71500,227500,0,591500,78.0,70.2,7.8,8.3,1.1,3.5,0.0,9.1,1,1
14,99014,1000000,10000,00,000,000000,0000,State Data - Indiana,Indiana,3100000,2635000,2371500,263500,74400,24800,55800,9300,300700,85.0,76.5,8.5,2.4,0.8,1.8,0.3,9.7,1,1
15,99015,1000000,10000,00,000,000000,0000,State Data - Iowa,Iowa,1500000,1245000,1120500,124500,25500,22500,37500,15000,154500,83.0,74.7,8.3,1.7,1.5,2.5,1.0,10.3,1,1
16,99016,1000000,10000,00,000,000000,0000,State Data - Kansas,Kansas,1400000,1176000,1058400,117600,21000,16800,30800,14000,141400,84.0,75.6,8.4,1.5,1.2,2.2,1.0,10.1,1,1
17,99017,1000000,10000,00,000,000000,0000,State Data - Kentucky,Kentucky,2000000,1700000,1530000,170000,36000,12000,38000,0,214000,85.0,76.5,8.5,1.8,0.6,1.9,0.0,10.7,1,1
18,99018,1000000,10000,00,000,000000,0000,State Data - Louisiana,Louisiana,1900000,1558000,1402200,155800,41800,13300,38000,0,248900,82.0,73.8,8.2,2.2,0.7,2.0,0.0,13.1,1,1
19,99019,1000000,10000,00,000,000000,0000,State Data - Maine,Maine,700000,560000,504000,56000,17500,11200,28000,0,83300,80.0,72.0,8.0,2.5,1.6,4.0,0.0,11.9,1,1
20,99020,1000000,10000,00,000,000000,0000,State Data - Maryland,Maryland,3200000,2496000,2246400,249600,304000,28800,99200,0,272000,78.0,70.2,7.8,9.5,0.9,3.1,0.0,8.5,1,1
21,99021,1000000,10000,00,000,000000,0000,State Data - Massachusetts,Massachusetts,3800000,2774000,2496600,277400,425600,49400,174800,0,376200,73.0,65.7,7.3,11.2,1.3,4.6,0.0,9.9,1,1
22,99022,1000000,10000,00,000,000000,0000,State Data - Michigan,Michigan,4200000,3486000,3137400,348600,113400,33600,96600,92400,378000,83.0,74.7,8.3,2.7,0.8,2.3,2.2,9.0,1,1
23,99023,1000000,10000,00,000,000000,0000,State Data - Minnesota,Minnesota,3000000,2400000,2160000,240000,105000,48000,105000,60000,282000,80.0,72.0,8.0,3.5,1.6,3.5,2.0,9.4,1,1
24,99024,1000000,10000,00,000,000000,0000,State Data - Mississippi,Mississippi,1200000,1032000,928800,103200,12000,3600,16800,0,135600,86.0,77.4,8.6,1.0,0.3,1.4,0.0,11.3,1,1
25,99025,1000000,10000,00,000,000000,0000,State Data - Missouri,Missouri,3000000,2520000,2268000,252000,69000,24000,63000,0,324000,84.0,75.6,8.4,2.3,0.8,2.1,0.0,10.8,1,1
26,99026,1000000,10000,00,000,000000,0000,State Data - Montana,Montana,500000,410000,369000,41000,4000,8500,15500,0,62000,82.0,73.8,8.2,0.8,1.7,3.1,0.0,12.4,1,1
27,99027,1000000,10000,00,000,000000,0000,State Data - Nebraska,Nebraska,950000,788500,709650,78850,13300,14250,23750,0,110200,83.0,74.7,8.3,1.4,1.5,2.5,0.0,11.6,1,1
28,99028,1000000,10000,00,000,000000,0000,State Data - Nevada,Nevada,1600000,1328000,1195200,132800,64000,12800,32000,0,163200,83.0,74.7,8.3,4.0,0.8,2.0,0.0,10.2,1,1
29,99029,1000000,10000,00,000,000000,0000,State Data - New Hampshire,New Hampshire,750000,615000,553500,61500,18750,9750,28500,0,78000,82.0,73.8,8.2,2.5,1.3,3.8,0.0,10.4,1,1
30,99030,1000000,10000,00,000,000000,0000,State Data - New Jersey,New Jersey,4300000,3311000,2979900,331100,473000,34400,129000,0,352600,77.0,69.3,7.7,11.0,0.8,3.0,0.0,8.2,1,1
31,99031,1000000,10000,00,000,000000,0000,State Data - New Mexico,New Mexico,850000,680000,612000,68000,17000,8500,25500,17000,102000,80.0,72.0,8.0,2.0,1.0,3.0,2.0,12.0,1,1
